ustic,or,Electric,Guitar
Plain Steel,-,,Lock,Twist
Item#,Unit Weight,g',f',e',d',c',b,a,g
PL007,.00001085,11.2,8.9,7.9,6.3,5.0,4.5,3.5,2.8
PL008,.00001418,14.7,11.6,10.4,8.2,6.5,5.8,4.6,3.7
PL0085,.00001601,16.6,13.1,11.7,9.3,7.4,6.6,5.2,4.1
PL009,.00001794,18.6,14.7,13.1,10.4,8.3,7.4,5.8,4.6
PL0095,.00001999,20.7,16.4,14.6,11.6,9.2,8.2,6.5,5.2
PL010,.00002215,22.9,18.2,16.2,12.9,10.2,9.1,7.2,5.7
PL0105,.00002442,25.3,20.0,17.9,14.2,11.3,10.0,8.0,6.3
PL011,.00002680,27.7,22.0,19.6,15.6,12.3,11.0,8.7,6.9
PL0115,.00002930,30.3,24.0,21.4,17.0,13.5,12.0,9.5,7.6
PL012,.00003190,33.0,26.2,23.3,18.5,14.7,13.1,10.4,8.2
PL013,.00003744,38.7,30.7,27.4,21.7,17.2,15.4,12.2,9.7
Item#,Unit,Weight,d',c',b,a,g,f,e,d
PL0135,.00004037,23.4,18.6,16.6,13.2,10.4,8.3,7.4,5.9
PL014,.00004342,25.2,20.0,17.8,14.1,11.2,8.9,7.9,6.3
PL015,.00004984,28.9,23.0,20.5,16.2,12.9,10.2,9.1,7.2
PL016,.00005671,32.9,26.1,23.3,18.5,14.7,11.6,10.4,8.2
PL017,.00006402,37.2,29.5,26.3,20.9,16.6,13.1,11.7,9.3
Item#,Unit,Weight,b,a,g,f,e,d,c,B
PL018,.00007177,29.5,23.4,18.6,14.7,13.1,10.4,8.3,7.4
PL019,.00007997,32.8,26.1,20.7,16.4,14.6,11.6,9.2,8.2
PL020,.00008861,36.4,28.9,22.9,18.2,16.2,12.9,10.2,9.1
Item#,Unit,Weight,a,g,f,e,d,c,B,A
PL022,.00010722,34.9,27.7,22.0,19.6,15.6,12.3,11.0,8.7
PL024,.00012760,41.6,33.0,26.2,23.3,18.5,14.7,13.1,10.4
PL026,.00014975,48.8,38.7,30.7,27.4,21.7,17.2,15.4,12.2

Plain,Steel,-,Soldered,TwistItem#,Unit,Weight,g',f',e',d',c',b,a,g
KPL009,.00001794,18.6,14.7,13.1,10.4,8.3,7.4,5.8,4.6
KPL010,.00002215,22.9,18.2,16.2,12.9,10.2,9.1,7.2,5.7
KPL011,.00002680,27.7,22.0,19.6,15.6,12.3,11.0,8.7,6.9
KPL012,.00003190,33.0,26.2,23.3,18.5,14.7,13.1,10.4,8.2
KPL013,.00003744,38.7,30.7,27.4,21.7,17.2,15.4,12.2,9.7
Item#,Unit,Weight,d',c',b,a,g,f,e,d
KPL014,.00004342,25.2,20.0,17.8,14.1,11.2,8.9,7.9,6.3
KPL016,.00005671,32.9,26.1,23.3,18.5,14.7,11.6,10.4,8.2
KPL017,.00006402,37.2,29.5,26.3,20.9,16.6,13.1,11.7,9.3
KPL020,.00008861,51.5,40.8,36.4,28.9,22.9,18.2,16.2,12.9

Plain,Steel,-,Double,Ball,End
Item#,Unit Weight,g',f',e',d',c',b,a,g
SPL009,.00001794,18.6,14.7,13.1,10.4,8.3,7.4,5.8,4.6
SPL010,.00002215,22.9,18.2,16.2,12.9,10.2,9.1,7.2,5.7
SPL011,.00002680,27.7,22.0,19.6,15.6,12.3,11.0,8.7,6.9
SPL013,.00003744,38.7,30.7,27.4,21.7,17.2,15.4,12.2,9.7
Item#,Unit,Weight,d',c',b,a,g,f,e,d
SPL016,.00005671,32.9,26.1,23.3,18.5,14.7,11.6,10.4,8.2
SPL017,.00006402,37.2,29.5,26.3,20.9,16.6,13.1,11.7,9.3


Classical Guitar,Pro-Arté,Laser Select Clear Nylon (EXP Coated and Uncoated)
Item#,Unit Weight,f',e',d',c',b,a,g,f
J4301,.00002024,16.6,14.8,11.8,9.3,8.3,6.6,5.2,4.2
J4302,.00002729,22.4,20.0,15.8,12.6,11.2,8.9,7.1,5.6
J4303,.00004525,37.1,33.1,26.3,20.8,18.6,14.7,11.7,9.3
J4401/EXP,.00002243,18.4,16.4,13.0,10.3,9.2,7.3,5.8,4.6
J4402/EXP,.00003046,25.0,22.3,17.7,14.0,12.5,9.9,7.9,6.3
J4403/EXP,.00004989,40.9,36.5,29.0,23.0,20.5,16.3,12.9,10.2
J4501/EXP,.00002092,17.2,15.3,12.1,9.6,8.6,6.8,5.4,4.3
J4502/EXP,.00002827,23.2,20.7,16.4,13.0,11.6,9.2,7.3,5.8
J4503/EXP,.00004679,38.4,34.2,27.2,21.6,19.2,15.2,12.1,9.6
J4601/EXP,.00002161,17.7,15.8,12.5,10.0,8.9,7.0,5.6,4.4
J4602/EXP,.00002924,24.0,21.4,17.0,13.5,12.0,9.5,7.6,6.0
J4603/EXP,.00004795,39.4,35.1,27.8,22.1,19.7,15.6,12.4,9.8
J4701,.00002092,17.2,15.3,12.1,9.6,8.6,6.8,5.4,4.3
J4702,.00002827,23.2,20.7,16.4,13.0,11.6,9.2,7.3,5.8
J4703,.00004679,38.4,34.2,27.2,21.6,19.2,15.2,12.1,9.6
J4801,.00002161,17.7,15.8,12.5,10.0,8.9,7.0,5.6,4.4
J4802,.00002924,24.0,21.4,17.0,13.5,12.0,9.5,7.6,6.0
J4803,.00004795,39.4,35.1,27.8,22.1,19.7,15.6,12.4,9.8
J5101,.00002161,17.7,15.8,12.5,10.0,8.9,7.0,5.6,4.4
J5102,.00002924,24.0,21.4,17.0,13.5,12.0,9.5,7.6,6.0
J5103,.00004795,39.4,35.1,27.8,22.1,19.7,15.6,12.4,9.8

Classical Guitar,Pro-Arté,Laser Select Black Nylon
Item#,Unit Weight,f',e',d',c',b,a,g,f
J4901,.00002092,17.2,15.3,12.1,9.6,8.6,6.8,5.4,4.3
J4902,.00002827,23.2,20.7,16.4,13.0,11.6,9.2,7.3,5.8
J4903,.00004679,38.4,34.2,27.2,21.6,19.2,15.2,12.1,9.6
J5001,.00002161,17.7,15.8,12.5,10.0,8.9,7.0,5.6,4.4
J5002,.00002924,24.0,21.4,17.0,13.5,12.0,9.5,7.6,6.0
J5003,.00004795,39.4,35.1,27.8,22.1,19.7,15.6,12.4,9.8
